Categoria,ficcion
Art-Photography,false
Biography,false
Business-Finance-Law,false
Childrens-Books,true
Computing,false
Crafts-Hobbies,false
Crime-Thriller,true
Dictionaries-Languages,false
Entertainment,false
Food-Drink,false
Graphic-Novels-Anime-Manga,true
Health,false
History-Archaeology,false
Home-Garden,false
Humour,false
Medical,false
Mind-Body-Spirit,true
Natural-History,false
Personal-Development,false
Poetry-Drama,true
Reference,false
Religion,false
Romance,true
Science-Fiction-Fantasy-Horror,true
Science-Geography,false
Society-Social-Sciences,false
Sport,false
Teaching-Resources-Education,false
Technology-Engineering,false
Teen-Young-Adult,true
Transport,false
Travel-Holiday-Guides,false
